Wed Jun  2 11:05:12 EDT 1993
Astronomical silicate                   
Computed by B.T.Draine (cf Laor, A., & Draine, B.T. 1993, ApJ 402,441)
  21 1.000E-03 1.000E+01 = NRAD, a_1 (micron), a_NRAD (micron)
 241 1.000E+03 1.000E-03 = NWAV, w_1 (micron), w_NWAV (micron)

1.000E-03 = radius(micron) Astronomical silicate                   
w(micron)  Q_abs     Q_sca     g=<cos>
1.000E+03 1.371E-07 2.530E-21  0.00E+00
9.441E+02 1.538E-07 3.185E-21  0.00E+00
8.913E+02 1.726E-07 4.010E-21  0.00E+00
8.414E+02 1.936E-07 5.048E-21  0.00E+00
7.943E+02 2.173E-07 6.355E-21  0.00E+00
7.499E+02 2.438E-07 8.000E-21  0.00E+00
7.079E+02 2.736E-07 1.007E-20  0.00E+00
6.683E+02 3.070E-07 1.268E-20  0.00E+00
6.310E+02 3.445E-07 1.596E-20  0.00E+00
5.957E+02 3.866E-07 2.010E-20  0.00E+00
5.623E+02 4.338E-07 2.530E-20  0.00E+00
5.309E+02 4.869E-07 3.186E-20  0.00E+00
5.012E+02 5.464E-07 4.011E-20  0.00E+00
4.732E+02 6.132E-07 5.049E-20  0.00E+00
4.467E+02 6.883E-07 6.357E-20  0.00E+00
4.217E+02 7.726E-07 8.003E-20  0.00E+00
3.981E+02 8.671E-07 1.008E-19  0.00E+00
3.758E+02 9.732E-07 1.269E-19  0.00E+00
3.548E+02 1.092E-06 1.597E-19  0.00E+00
3.350E+02 1.226E-06 2.011E-19  0.00E+00
3.162E+02 1.377E-06 2.532E-19  0.00E+00
2.985E+02 1.546E-06 3.187E-19  0.00E+00
2.818E+02 1.736E-06 4.013E-19  0.00E+00
2.661E+02 1.949E-06 5.054E-19  0.00E+00
2.512E+02 2.189E-06 6.363E-19  0.00E+00
2.371E+02 2.459E-06 8.012E-19  0.00E+00
2.239E+02 2.763E-06 1.009E-18  0.00E+00
2.113E+02 3.104E-06 1.270E-18  0.00E+00
1.995E+02 3.489E-06 1.599E-18  0.00E+00
1.884E+02 3.920E-06 2.014E-18  0.00E+00
1.778E+02 4.405E-06 2.536E-18  0.00E+00
1.679E+02 4.952E-06 3.194E-18  0.00E+00
1.585E+02 5.569E-06 4.022E-18  0.00E+00
1.496E+02 6.264E-06 5.065E-18  0.00E+00
1.413E+02 7.048E-06 6.379E-18  0.00E+00
1.334E+02 7.932E-06 8.034E-18  0.00E+00
1.259E+02 8.930E-06 1.012E-17  0.00E+00
1.189E+02 1.006E-05 1.275E-17  0.00E+00
1.122E+02 1.132E-05 1.606E-17  0.00E+00
1.059E+02 1.277E-05 2.022E-17  0.00E+00
1.000E+02 1.439E-05 2.547E-17  0.00E+00
9.441E+01 1.624E-05 3.208E-17  0.00E+00
8.913E+01 1.833E-05 4.041E-17  0.00E+00
8.414E+01 2.070E-05 5.090E-17  0.00E+00
7.943E+01 2.339E-05 6.411E-17  0.00E+00
7.499E+01 2.642E-05 8.076E-17  0.00E+00
7.079E+01 2.988E-05 1.017E-16  0.00E+00
6.683E+01 3.381E-05 1.280E-16  0.00E+00
6.310E+01 3.824E-05 1.611E-16  0.00E+00
5.957E+01 4.326E-05 2.027E-16  0.00E+00
5.623E+01 4.894E-05 2.550E-16  0.00E+00
5.309E+01 5.533E-05 3.205E-16  0.00E+00
5.012E+01 6.250E-05 4.028E-16  0.00E+00
4.732E+01 7.058E-05 5.057E-16  0.00E+00
4.467E+01 7.966E-05 6.347E-16  0.00E+00
4.217E+01 8.986E-05 7.960E-16  0.00E+00
3.981E+01 1.011E-04 9.958E-16  0.00E+00
3.758E+01 1.136E-04 1.245E-15  0.00E+00
3.548E+01 1.269E-04 1.561E-15  0.00E+00
3.350E+01 1.421E-04 1.957E-15  0.00E+00
3.162E+01 1.600E-04 2.451E-15  0.00E+00
2.985E+01 1.807E-04 3.066E-15  0.00E+00
2.818E+01 2.037E-04 3.821E-15  0.00E+00
2.661E+01 2.303E-04 4.762E-15  0.00E+00
2.512E+01 2.610E-04 5.942E-15  0.00E+00
2.371E+01 2.951E-04 7.342E-15  0.00E+00
2.239E+01 3.350E-04 9.076E-15  0.00E+00
2.113E+01 3.812E-04 1.106E-14  0.00E+00
1.995E+01 4.363E-04 1.333E-14  0.00E+00
1.884E+01 4.851E-04 1.490E-14  0.00E+00
1.778E+01 4.871E-04 1.531E-14  0.00E+00
1.679E+01 4.433E-04 1.548E-14  0.00E+00
1.585E+01 3.790E-04 1.686E-14  0.00E+00
1.496E+01 3.215E-04 2.093E-14  0.00E+00
1.413E+01 2.895E-04 3.004E-14  0.00E+00
1.334E+01 3.459E-04 4.630E-14  0.00E+00
1.259E+01 4.567E-04 6.672E-14  0.00E+00
1.189E+01 6.069E-04 9.204E-14  0.00E+00
1.122E+01 7.890E-04 1.219E-13  0.00E+00
1.059E+01 1.042E-03 1.609E-13  0.00E+00
1.000E+01 1.265E-03 1.795E-13  0.00E+00
9.441E+00 1.412E-03 1.808E-13  0.00E+00
8.913E+00 1.051E-03 9.649E-14  0.00E+00
8.414E+00 6.787E-04 4.831E-14  0.00E+00
7.943E+00 3.151E-04 2.393E-14  0.00E+00
7.499E+00 1.399E-04 5.113E-14  0.00E+00
7.079E+00 1.100E-04 1.021E-13  0.00E+00
6.683E+00 1.089E-04 1.612E-13  0.00E+00
6.310E+00 1.082E-04 2.321E-13  0.00E+00
5.957E+00 9.993E-05 4.208E-13  3.34E-07
5.623E+00 9.844E-05 5.775E-13  3.75E-07
5.309E+00 9.845E-05 7.788E-13  4.20E-07
5.012E+00 9.983E-05 1.037E-12  4.71E-07
